Date,Open,High,Low,Close,Volume,Adj Close
2010-05-03,7979.799805,8022.450195,7032.399902,7373.97998,3580000,7373.951172
2010-04-01,7952.620117,8190.009766,7842.069824,8004.25,4546900,8004.21875
2010-03-01,7492.839844,7994.620117,7451.089844,7920.060059,3654800,7920.028809
2010-02-01,7653.890137,7661.700195,7173.180176,7436.100098,3557300,7436.070801
2010-01-04,8222.419922,8395.389648,7481.899902,7640.439941,5468800,7640.409668
2009-12-01,7615.950195,8188.799805,7549.009766,8188.109863,4722100,8188.077637
2009-11-02,7238.299805,7875.47998,7218.890137,7582.209961,4022300,7582.180176
2009-10-01,7581.379883,7811.919922,7233.629883,7340.080078,4667500,7340.05127
2009-09-01,6834.629883,7558.879883,6807.620117,7509.169922,4391700,7509.140625
2009-08-03,7036.470215,7138.939941,6629.100098,6825.950195,4072600,6825.92334
2009-07-01,6445.850098,7185.52002,6433.689941,7077.709961,5062400,7077.682129
2009-06-01,7033.330078,7084.830078,6100.080078,6432.160156,4915900,6432.134766
2009-05-04,6285.600098,6930.589844,6256.290039,6890.439941,8247900,6890.412598
2009-04-01,5271.830078,6071.060059,5271.830078,5992.569824,7049400,5992.546387
2009-03-02,4528.27002,5468.490234,4328.049805,5210.839844,5531700,5210.819336
2009-02-02,4277.100098,4607.970215,4240.080078,4557.149902,3387500,4557.131836
2009-01-05,4725.259766,4817.439941,4164.189941,4247.970215,3361400,4247.953613
2008-12-01,4436.120117,4750.959961,4190.02002,4591.220215,3941000,4591.202148
2008-11-03,4925.740234,5095.97998,3955.429932,4460.490234,3608800,4460.472656
2008-10-01,5854.00,5854.00,4110.089844,4870.660156,3234700,4870.641113
2008-09-01,6967.220215,6967.220215,5530.189941,5719.279785,3969000,5719.257324
2008-08-01,6920.75,7376.689941,6809.959961,7046.109863,3900400,7046.082031
2008-07-01,7528.540039,7569.180176,6708.459961,7024.060059,4377100,7024.032227
2008-06-02,8638.480469,8809.330078,7466.200195,7523.540039,4094200,7523.510254
2008-05-02,8998.05957,9309.950195,8548.320312,8619.080078,5527600,8619.045898
2008-04-01,8593.200195,9194.860352,8419.719727,8919.919922,5948600,8919.884766
2008-03-03,8213.700195,9049.230469,7900.799805,8572.589844,5918400,8572.555664
2008-02-01,7613.580078,8473.709961,7530.370117,8412.759766,5205900,8412.726562
2008-01-02,8491.570312,8546.200195,7384.609863,7521.129883,5225400,7521.100098
2007-12-03,8623.120117,8804.929688,7664.620117,8506.280273,4069700,8506.24707
2007-11-01,9780.589844,9785.75,8207.969727,8586.400391,4801000,8586.366211
2007-10-01,9523.980469,9859.650391,9275.719727,9711.370117,5527000,9711.332031
2007-09-03,9018.889648,9474.049805,8841.639648,9411.950195,4920700,9411.913086
2007-08-01,9188.599609,9265.700195,7987.609863,8982.160156,5339900,8982.125
2007-07-02,8903.769531,9807.910156,8849.349609,9287.25,8290700,9287.213867
2007-06-01,8236.759766,8985.929688,8224.280273,8883.209961,5305200,8883.174805
2007-05-02,7900.759766,8256.25,7861.430176,8144.950195,3501400,8144.917969
2007-04-02,7888.169922,8108.50,7843.049805,7875.419922,4440100,7875.38916
2007-03-01,7707.629883,7928.029785,7306.069824,7884.410156,3980300,7884.378906
2007-02-01,7751.299805,7950.200195,7679.779785,7901.959961,3523300,7901.928711
2007-01-02,7871.410156,7999.419922,7599.549805,7699.640137,4537800,7699.609863
2006-12-01,7587.509766,7823.720215,7369.089844,7823.720215,5001000,7823.689453
2006-11-01,7036.069824,7567.720215,7005.129883,7567.720215,4773700,7567.69043
2006-10-02,6907.430176,7159.850098,6874.97998,7021.319824,3578700,7021.291992
2006-09-01,6631.830078,6961.919922,6550.029785,6883.049805,2916800,6883.022949
2006-08-01,6464.589844,6761.790039,6405.089844,6611.77002,2904900,6611.744141
2006-07-03,6727.22998,6789.549805,6232.490234,6454.580078,2810000,6454.554688
2006-06-01,6874.660156,6967.379883,6268.919922,6704.410156,3286100,6704.383789
2006-05-02,7174.930176,7476.069824,6791.109863,6846.950195,4777600,6846.92334
2006-04-03,6627.319824,7229.350098,6615.97998,7171.77002,4428800,7171.741699
2006-03-01,6518.00,6685.450195,6344.72998,6613.970215,2758100,6613.944336
2006-02-03,6592.189941,6747.430176,6466.209961,6561.629883,3368200,6561.604004
2006-01-02,6457.609863,6797.200195,6373.629883,6532.180176,4517000,6532.154297
2005-12-01,6196.359863,6600.169922,6162.859863,6548.339844,4282200,6548.313965
2005-11-01,5803.25,6212.350098,5786.640137,6203.470215,3275200,6203.445801
2005-10-03,6128.970215,6171.870117,5618.899902,5764.299805,3087100,5764.277344
2005-09-02,6081.709961,6186.120117,5894.990234,6118.609863,2806900,6118.585938
2005-08-01,6320.669922,6481.620117,5976.399902,6033.470215,3167800,6033.446289
2005-07-01,6240.080078,6480.970215,6180.580078,6311.97998,4055200,6311.955078
2005-06-01,6002.549805,6401.810059,5962.879883,6241.939941,3893600,6241.915527
2005-05-03,5845.140137,6026.529785,5793.25,6011.560059,2744600,6011.536621
2005-04-01,6010.709961,6048.370117,5565.410156,5818.069824,2674800,5818.046875
2005-03-01,6227.419922,6267.52002,5940.180176,6005.879883,3281800,6005.856445
2005-02-01,6015.779785,6233.529785,5979.919922,6207.830078,4095100,6207.805664
2005-01-03,6166.390137,6183.149902,5734.870117,5994.22998,3112900,5994.206543
2004-12-01,5778.060059,6160.959961,5745.049805,6139.689941,3232100,6139.666016
2004-11-01,5725.649902,6088.120117,5628.25,5844.759766,3232600,5844.736816
2004-10-01,5869.419922,6135.549805,5597.799805,5705.930176,3964200,5705.907715
2004-09-01,5799.819824,5970.290039,5712.950195,5845.689941,3985600,5845.666992
2004-08-02,5404.189941,5864.569824,5255.060059,5765.540039,3086000,5765.517578
2004-07-01,5849.740234,5870.589844,5280.419922,5420.569824,2659300,5420.54834
2004-06-01,5991.490234,6010.50,5514.169922,5839.439941,3385100,5839.416992
2004-05-03,6102.600098,6191.839844,5450.720215,5977.839844,4169100,5977.816406
2004-04-01,6504.540039,6916.310059,6023.580078,6117.810059,6201100,6117.786133
2004-03-01,6816.790039,7135.00,6020.640137,6522.189941,7493700,6522.164062
2004-02-02,6379.97998,6756.759766,6210.350098,6750.540039,8041900,6750.513672
2004-01-02,5907.149902,6421.450195,5907.149902,6375.379883,5974800,6375.35498
2003-12-01,5768.689941,5945.529785,5718.439941,5890.689941,3014100,5890.666992
2003-11-03,6054.310059,6182.200195,5740.569824,5771.77002,4003700,5771.74707
2003-10-01,5599.100098,6173.850098,5560.549805,6045.120117,5013900,6045.096191
2003-09-01,5690.839844,5809.430176,5591.330078,5611.410156,3593900,5611.388184
2003-08-01,5365.72998,5692.930176,5174.77002,5650.830078,4424000,5650.807617
2003-07-01,4893.580078,5504.379883,4893.580078,5318.339844,5852500,5318.318848
2003-06-02,4620.540039,5089.080078,4612.100098,4872.149902,4895200,4872.130859
2003-05-02,4130.600098,4639.009766,4108.669922,4555.899902,2642500,4555.881836
2003-04-01,4275.390137,4677.419922,4044.72998,4148.069824,2850800,4148.053711
2003-03-03,4483.439941,4619.97998,4240.600098,4321.220215,2436300,4321.203125
2003-02-06,4975.649902,4975.649902,4385.609863,4432.459961,3488500,4432.442383
2003-01-02,4460.569824,5141.799805,4431.189941,5015.160156,6158600,5015.140625
2002-12-02,4655.419922,4867.22998,4413.140137,4452.450195,000,4452.432617
2002-11-01,4596.689941,4862.660156,4486.339844,4646.689941,000,4646.671875
2002-10-01,4146.669922,4682.939941,3845.76001,4579.140137,000,4579.12207
2002-09-02,4756.009766,4756.009766,4082.939941,4191.810059,000,4191.793457
2002-08-01,4923.290039,5030.240234,4506.600098,4764.939941,000,4764.921387
2002-07-01,5124.50,5460.089844,4796.450195,4940.379883,000,4940.360352
2002-06-03,5628.27002,5656.910156,5048.310059,5153.709961,000,5153.689453
2002-05-02,6099.27002,6106.77002,5421.799805,5675.649902,000,5675.627441
2002-04-01,6118.450195,6484.930176,6009.450195,6065.72998,000,6065.706055
2002-03-01,5672.029785,6326.430176,5645.799805,6167.470215,000,6167.445801
2002-02-01,5948.100098,6048.649902,5492.939941,5696.109863,000,5696.087402
2002-01-02,5575.339844,6049.120117,5375.399902,5872.140137,000,5872.117188
2001-12-03,4534.370117,5651.97998,4532.189941,5551.240234,000,5551.218262
2001-11-01,3939.080078,4722.180176,3910.840088,4441.120117,000,4441.102539
2001-10-02,3623.669922,4104.209961,3436.25,3903.48999,000,3903.474609
2001-09-03,4520.00,4526.27002,3411.679932,3636.939941,000,3636.925537
2001-08-01,4402.709961,4715.200195,4303.339844,4509.439941,000,4509.422363
2001-07-02,4886.490234,4906.819824,4008.080078,4352.97998,000,4352.962891
2001-06-01,5090.660156,5318.709961,4741.540039,4883.430176,000,4883.411133
2001-05-02,5469.950195,5502.529785,4902.220215,5048.859863,000,5048.839844
2001-04-02,5797.850098,5797.850098,5345.600098,5381.669922,000,5381.648926
2001-03-01,5581.950195,5981.310059,5471.620117,5797.919922,000,5797.896973
2001-02-01,5927.25,6198.220215,5653.859863,5674.689941,000,5674.66748
2001-01-02,4717.490234,5992.430176,4678.00,5936.200195,000,5936.176758
2000-12-01,5173.02002,5403.140137,4555.910156,4743.939941,000,4743.921387
2000-11-01,5552.299805,6164.620117,4760.680176,5256.930176,000,5256.909668
2000-10-02,6165.640137,6367.390137,5074.439941,5544.180176,000,5544.158203
2000-09-01,7659.819824,7829.339844,6425.580078,6432.359863,000,6432.334473
2000-08-01,8171.580078,8305.669922,7440.810059,7616.97998,000,7616.950195
2000-07-03,8260.950195,8643.209961,7723.439941,8114.919922,000,8114.888184
2000-06-01,8936.429688,9209.480469,8050.02002,8265.089844,000,8265.057617
2000-05-02,8836.830078,9146.589844,8281.679688,8939.519531,000,8939.484375
2000-04-03,9892.780273,10328.980469,8458.400391,8824.360352,000,8824.325195
